Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),NaturalGas:Plant [J](Hourly),TOTAL BUILDING INSIDE FACE SOLAR RADIATION HEAT GAIN ENERGY [J](Hourly),TOTAL BUILDING INSIDE FACE NET SURFACE THERMAL RADIATION HEAT GAIN ENERGY [J](Hourly) 
 01/01  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.3655745685100555e-9 
 01/01  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.238689482212067e-10 
 01/01  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.0745362639427185e-10 
 01/01  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.820766091346741e-11 
 01/01  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.862645149230957e-9 
 01/01  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.6007106751203537e-9 
 01/01  07:00:00,13550863.230528694,1710000.0,1136544.5956399357,10704318.634888757,9466317.297286663,0.0,1350000.0,29526159.89274686,29526159.89274686,0.0,-6.402842700481415e-10 
 01/01  08:00:00,14119788.071322838,1710000.0,1136544.5956399357,11273243.4756829,9984052.217136271,0.0,1350000.0,23766864.549551815,23766864.549551815,1285900.8836988434,-1.7462298274040222e-10 
 01/01  09:00:00,42781100.10160958,29416680.0,1136544.5956399357,12227875.50596965,10848355.766664362,0.0,22216680.0,5392325.263538688,5392325.263538688,6940997.8258881755,-5.820766091346741e-10 
 01/01  10:00:00,50557700.44060028,35762400.0,1305944.1142436082,13489356.326356675,12101781.53203299,0.0,19562400.0,631002.0203457787,631002.0203457787,10712775.628159016,-2.444721758365631e-9 
 01/01  11:00:00,47521215.3055744,30384000.0,1611139.768845688,15526075.53672871,14139798.08818489,0.0,14184000.0,0.0,0.0,17521361.43223917,-2.6775524020195007e-9 
 01/01  12:00:00,44908685.55368662,27140580.0,1674106.0193588592,16093999.534327766,14701641.431872549,0.0,10940580.0,0.0,0.0,19561041.61445111,-3.259629011154175e-9 
 01/01  13:00:00,41472817.43576935,24701760.0,1490521.0574165701,15280536.37835278,13880121.311589222,0.0,8501760.0,0.0,0.0,20194083.513535425,-2.7939677238464355e-9 
 01/01  14:00:00,43533448.887063555,25764480.0,1759043.5718610547,16009925.315202493,14603050.12218423,0.0,9564480.0,0.0,0.0,16595597.149741745,-4.540197551250458e-9 
 01/01  15:00:00,42816868.28209492,25027200.0,1845764.0395320428,15943904.242562871,14564283.360942446,0.0,10627200.0,0.0,0.0,17104578.473458078,-3.4924596548080444e-9 
 01/01  16:00:00,42223380.80987634,25894800.0,1657574.977187078,14671005.832689254,13356335.400954645,0.0,13294800.0,0.0,0.0,13498668.382655807,-3.958120942115784e-9 
 01/01  17:00:00,41359688.34582734,26740800.0,1415968.7355079872,13202919.610319357,11909100.669265985,0.0,17740800.0,0.0,0.0,9253428.183130987,-4.656612873077393e-10 
 01/01  18:00:00,49810993.285461195,36000000.0,1354488.1273820696,12456505.158079129,11173370.309032388,0.0,27000000.0,0.0,0.0,917752.4543559623,-2.0954757928848267e-9 
 01/01  19:00:00,33681129.50299156,21600000.0,1136897.26340251,10944232.239589045,9634925.149906855,0.0,16200000.0,5473111.843446556,5473111.843446556,0.0,-4.190951585769653e-9 
 01/01  20:00:00,22566199.755496856,10800000.0,1136544.5956399357,10629655.159856921,9392628.870719079,0.0,5400000.0,3838121.255769934,3838121.255769934,0.0,-5.820766091346741e-10 
 01/01  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,-4.656612873077393e-10 
 01/01  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.6298145055770874e-9 
 01/01  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-8.731149137020111e-10 
 01/01  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.3283064365386963e-9 
 01/02  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.6880221664905548e-9 
 01/02  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.8044374883174896e-9 
 01/02  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,6.984919309616089e-10 
 01/02  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.3387762010097504e-9 
 01/02  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1059455573558807e-9 
 01/02  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-3.550667315721512e-9 
 01/02  07:00:00,12339669.978934603,1710000.0,1136544.5956399357,9493125.383294668,8384201.208424222,0.0,1350000.0,30219786.981608015,30219786.981608015,120302.78100591252,-2.1827872842550278e-9 
 01/02  08:00:00,13372960.716230182,1686240.0,1136544.5956399357,10550176.120590247,9346925.382610383,0.0,1326240.0,23595930.914988257,23595930.914988257,3134690.785862457,-9.313225746154785e-10 
 01/02  09:00:00,37898762.40044003,24932520.0,1147634.2316732942,11818608.168766739,10482763.670168879,0.0,17732520.0,4812568.356270278,4812568.356270278,15014402.2661013,-4.307366907596588e-9 
 01/02  10:00:00,45235981.00364809,30126240.0,1445048.5220976972,13664692.481550394,12280322.652961375,0.0,13926240.0,209264.70655923852,209264.70655923852,22993479.751993783,-2.0954757928848267e-9 
 01/02  11:00:00,43809970.303428166,26827200.0,1785623.9192952458,15197146.384132918,13831211.726816818,0.0,10627200.0,0.0,0.0,22540737.27255569,-3.4924596548080444e-9 
 01/02  12:00:00,43232136.27671921,26295840.0,1870738.495624004,15065557.781095218,13793469.0739047,0.0,10095840.0,0.0,0.0,23030796.836672224,-6.402842700481415e-9 
 01/02  13:00:00,39937986.9474134,24701760.0,1629993.0145816433,13606233.93283176,12421554.428080855,0.0,8501760.0,0.0,0.0,20443586.31270275,-5.005858838558197e-9 
 01/02  14:00:00,43936917.87048178,28165320.0,1882970.145545733,13888627.724936051,12774104.658184003,0.0,11965320.0,0.0,0.0,14599842.867598038,-2.7939677238464355e-9 
 01/02  15:00:00,42279898.23197482,26805600.0,1852494.7879258601,13621803.444048952,12525844.257893886,0.0,12405600.0,0.0,0.0,13082320.416186294,-4.889443516731262e-9 
 01/02  16:00:00,38153750.159218706,23227200.0,1740184.3099832379,13186365.849235468,12085344.369004078,0.0,10627200.0,0.0,0.0,18967001.86479556,-4.190951585769653e-9 
 01/02  17:00:00,34148269.15775162,20516400.0,1495409.4898951394,12136459.667856477,11026152.107774587,0.0,11516400.0,0.0,0.0,17432724.38889192,-2.7939677238464355e-9 
 01/02  18:00:00,46824394.81919617,33210000.0,1483348.9605158488,12131045.858680326,11011370.571544733,0.0,24210000.0,0.0,0.0,10130322.104522584,-3.259629011154175e-9 
 01/02  19:00:00,32793445.23688195,21600000.0,1142925.1560422138,10050520.080839736,8873169.21809857,0.0,16200000.0,5005610.4399340805,5005610.4399340805,0.0,-1.5133991837501526e-9 
 01/02  20:00:00,21571023.14111639,10800000.0,1136544.5956399357,9634478.545476453,8514562.986780616,0.0,5400000.0,4031556.890979129,4031556.890979129,0.0,5.820766091346741e-10 
 01/02  21:00:00,6896544.595639936,5760000.0,1136544.5956399357,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,1.1641532182693481e-10 
 01/02  22:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.1641532182693481e-10 
 01/02  23:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-1.9208528101444244e-9 
 01/02  24:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,2.3283064365386963e-10 
 01/03  01:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,5.238689482212067e-10 
 01/03  02:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,1.979060471057892e-9 
 01/03  03:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,8.149072527885437e-10 
 01/03  04:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-2.3283064365386963e-9 
 01/03  05:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,-4.0745362639427185e-10 
 01/03  06:00:00,2846544.5956399357,1710000.0,1136544.5956399357,0.0,0.0,0.0,1350000.0,0.0,0.0,0.0,6.984919309616089e-10 
 01/03  07:00:00,12909040.960901817,1710000.0,1136544.5956399357,10062496.365261883,8896267.977962453,0.0,1350000.0,30952857.51499135,30952857.51499135,50347.617590523354,-4.511093720793724e-9 
 01/03  08:00:00,13866208.695373932,1710000.0,1136544.5956399357,11019664.099733995,9766637.466703804,0.0,1350000.0,23922266.328488827,23922266.328488827,2345935.9210642753,-1.3387762010097504e-9 
 01/03  09:00:00,38882358.66035703,25732800.0,1142474.0786324267,12007084.5817246,10656263.032409325,0.0,18532800.0,5156228.422814435,5156228.422814435,13098447.23353313,-2.6775524020195007e-9 
 01/03  10:00:00,45083244.10734603,30126240.0,1459646.8717400897,13497357.235605944,12136609.658592956,0.0,13926240.0,250533.08457035714,250533.08457035714,23049997.5148838,-1.5133991837501526e-9 
 01/03  11:00:00,43511359.350294575,26827200.0,1801968.3800959229,14882190.970198654,13555783.042116344,0.0,10627200.0,0.0,0.0,24427143.46166271,-2.0954757928848267e-9 
 01/03  12:00:00,42920744.89816569,26295840.0,1892118.486988868,14732786.411176823,13498042.087518511,0.0,10095840.0,0.0,0.0,22735536.06647984,-2.561137080192566e-9 
 01/03  13:00:00,39678543.98762544,24701760.0,1628002.7069306257,13348781.280694816,12183983.824073005,0.0,8501760.0,0.0,0.0,21066023.642110653,-3.841705620288849e-9 
